一个	одна штука, один
举行	проводить, предпринимать; осуществлять
了解	понять, уразуметь, уяснить; понимание
处理	разрешать (напр., проблемы)
多少	I duōshǎo
感觉	чувство; ощущение; реакция; чувствовать
拥有	иметь, владеть, обладать
时代	эпоха, эра; век; период; времена
电话	телефон (аппарат, номер); телефонный
能力	умение, способность, возможность
艺术	искусство, художество, рисунок, арт
解决	решить, разрешить (вопрос); уладить
传统	устой, традиция, обычай; устоявшийся
全球	весь мир, весь земной шар; всемирный
其实	фактически [же], в действительности
机会	удобный случай, благоприятная возможность
独立	держаться самостоятельно (независимо)
行为	действие, поступок; акт; поведение
超过	превысить, превзойти; превышение
韩国	(сокр. от 大韩民国) Республика Корея
产生	рождать; создавать; производить
人类	человечество; род человеческий
分析	анализировать; аналитический; анализ
各种	разного рода; разнообразный; различный
告诉	gàosu сказать (кому-л. что-л.), сообщить
它们	они (животные и неодушевлённые предметы)
手机	мобильный телефон, сотовый (телефон)
投资	инвестировать, вкладывать капитал
期间	срок, период; промежуток (отрезок) времени
法国	Франция; французский
目标	цель, объект, мишень, ориентир
真正	настоящий, истинный, действительный
调查	исследование, расследование, обследование
世纪	век, столетие
严重	серьёзный, тяжёлый, грубый, тяжкий
增加	увеличиться; повыситься, прибавиться [на]
帮助	помогать, содействовать; помощь
并且	к тому же, притом, вместе с тем; а также
行动	двигаться, идти; движение
造成	сделать, создать, образовать, выполнить
作品	изделие; продукция
受到	получать; встречать (напр. одобрение)
基础	основание, базис, база, основа, фундамент
家庭	семья, дом; домашний, фамильный
工业	промышленность; промышленный
相信	верить (во что-л., кому-л.), доверять
第一	первый (по порядку); во-первых
负责	отвечать за (что-л.)
具有	обладать, иметь; содержать, вмещать
实现	осуществлять, реализовывать, проводить
怎样	каким образом?, как?; каков?
控制	держать [под контролем], контролировать
根本	корень и ствол дерева
男人	nánrén мужчина
结束	закончить[ся], завершить; покончить с...
努力	стараться, старания, старательно; усердие
只要	надо (нужно, необходимо) лишь...…
如此	такой; таков; подобный этому
媒体	средства массовой информации, медиа
才能	способности; одарённость, талантливость
整个	цельный, полный; в целом; весь, целиком
来自	происходить из, исходить из
经过	проходить [через..., по...]
群众	народные массы; масса; народ; массовый
选举	выборы, баллотировка; выбирать, избирать
以下	наречие/прилагательное внизу, снизу, ниже
利用	использовать, воспользоваться, применять
制度	режим, строй
我国	наша страна
欧洲	европейский материк; Европа; европейский
每个	каждый, все
比赛	состязание, соревнование, конкурс, матч
表现	показывать, выражать, демонстрировать
达到	достигать, добиваться, выполнять
主席	председатель; председательствующий
以上	наверху, сверху; выше; вышеперечисленный
以来	с того времени, как; за время...
几个	сколько?
办法	способ, приём, метод, решение; средство
图片	фотография, иллюстрация, картинка
年代	эпоха, эра; период
开发	I kāifā
成员	член (напр. семьи, организации)
未来	будущее, грядущее; будущий
革命	революция, революционный
价值	эк. стоимость; ценность; цена
基本	основной, базовый, коренной, кардинальный
导致	привести к...
注意	принимать во внимание, уделять внимание
的话	если...
离开	уезжать из...; покидать, уходить
除了	исключая, не считая, кроме, помимо
加入	вступать, присоединяться; присоединение
反对	противостоять, быть в оппозиции
发布	опубликовать, обнародовать; издать
属于	принадлежать, относиться (к чему-л.)
建筑	строить; сооружать; застройка, постройка
形成	формироваться, складываться; формирование
数据	[цифровые] данные, статистика, цифры
行政	управлять; администрация; управление
银行	банк
音乐	музыка; музыкальный
之一	один (одна, одно) из ...
变化	изменяться; превращаться; перемена
增长	возрастать, нарастать, увеличиваться
官方	официальный, правительственный
德国	Германия; германский, немецкий
显示	показать, указать, продемонстрировать
经验	опыт, опытное знание, эмпирическое знание
语言	речь; язык
专家	специалист; эксперт
价格	цена, стоимость
医院	больница, госпиталь, лазарет
建议	предлагать, вносить предложение
指出	отметить, указать, обозначить
权利	юр. право; права
条件	условие, критерий, обстоятельства
来说	(конструкция 对/就...来说) что касается...
标准	нормативный, стандартный, нормированный
说明	объяснить, охарактеризовать, пояснить
这次	на этот раз
部门	отделение; филиал; деление; разделение
可是	но, однако
改革	реформировать, обновлять; преобразовывать
母亲	мать, матушка
系列	серия, коллекция; ряд
联系	связываться, устанавливать связь
警察	полиция; полицейский
记录	записывать (вносить) в протокол
不仅	не только, не просто, даже не
人物	человек; люди; лицо; личность; фигура
别人	biérén другой, постороннее лицо; другие
后来	впоследствии, в дальнейшем, потом, после
女性	женский пол
意见	мнение, взгляд; точка зрения
执行	выполнять, исполнять
最高	наивысший, превосходный; верховный
机关	орган, организация, аппарат (управления)
用户	абонент, потребитель, пользователь
确定	устанавливать, определять; констатировать
解释	разъяснять, растолковывать, объяснять
中央	середина, центр; центральный
以前	прежде, раньше; в прошлом; предыдущий
先生	господин (вежливое обращение
关注	уделять внимание (пристальное, повышенное)
分别	разница, различие, по-разному, неодинаково
区域	район, область, зона; ареал; участок
工程	инженерные работы; техника; постройка
父亲	отец
理论	теория (в науке); учение
简单	простой, лёгкий
结构	конструкция, структура, строение
综合	обобщать; общий, всеобщий; полный
老师	учитель, преподаватель, педагог
讨论	обсуждать, дискутировать; прения
证明	доказывать, удостоверять
采用	применять; внедрять; пользоваться
一位	мат. разряд единиц; однозначный
不到	не достигнуть; не дойти; не прийти
儿子	[родной] сын
全部	совокупность, целое; целый, целиком
公开	открытый, публичный; гласный; гласность
发表	опубликовать, обнародовать, напечатать
宣布	объявлять, опубликовывать, обнародовать
当地	данная местность (место); местный
最近	самый близкий; ближайший
社区	сообщество, общество, соц. общность
自然	I zìrán
那里	см. 那儿
今年	в этом году, этот год, в текущем году
介绍	знакомить, представлять; ознакомлять
以为	принимать за..., считать [это] за...
功能	функция; назначение, применение
坚持	крепко держать, удерживать
学院	академия, институт, колледж
意思	значение, смысл
找到	найти
提高	поднять, повысить (степень, уровень
范围	объём, пределы, степень, мера, размер
例如	например, как например
共同	совместный, общий, совокупный; единый
农业	земледелие, сельское хозяйство; аграрный
力量	прям., перен. сила, мощь, энергия; силы
取得	приобретать; получать; одержать (победу)
同样	тождественный, одинаковый, идентичный
土地	tǔdì
实施	осуществлять на деле, проводить в жизнь
旅游	путешествовать; туризм; турпоездка
正式	официальный, формальный; формально
民族	нация, народ, этнос, этническая группа
组成	образовывать[ся], создавать[ся]
一天	один день
保证	ручаться, поручиться, заверять
健康	здоровье, крепость (физическая); здоровый
大量	большая мера; масса; большой мерой
实际	реальность, действительность, реальный
容易	простой, легкий; просто, легко
开放	расцветать, распускаться (о цветах)
持续	длиться, продолжаться; длительный
权力	власть, могущество; полномочие
永远	вечный, вековечный; вечно, всегда; навечно
消息	новость, известие, сообщение, информация
然而	но, однако; всё же; всё-таки; тем не менее
电视	телевидение; телевизионный; телепередача
看看	kànkan
精神	I jīngshén
考虑	думать, обдумывать, продумывать
重点	zhòngdiǎn
位于	располагаться; находиться
免费	освобождать от платы; бесплатный
印度	Индия; индийский
变成	превратиться в...
另外	кроме того, помимо этого, более того
声音	звук; звучание; звуковой; акустический
女儿	I, nǚ’ér
妈妈	мама, мать
应用	I yìngyòng
想要	хотеть, желать, стремиться к ...
明白	понимать; понятный; очевидный; ясный
最终	финальный, конечный, окончательный
汽车	автомобиль, автомашина
相当	соответствующий, подходящий, надлежащий
空间	пространство; пространственный
终于	наконец, в конечном счёте
美元	[американский] доллар
设备	оборудовать; оборудование, аппаратура
足球	футбол; футбольный
里面	внутри; в доме; в помещении
领域	область, территория, сфера, аспект
产业	имущество, собственность, имение
作用	роль, значение; употребление, применение
几乎	почти, приблизительно, около
分钟	минута
十分	очень, весьма, в полной мере, чрезвычайно
回来	вернуться [сюда], возвратиться; назад!
意义	смысл, значение
文章	статья, сочинение, короткое произведение
生命	жизнь; жизненный; спасительный
面积	площадь
亚洲	Азия; азиатский
原来	с самого начала; первоначально, исходный
名字	имя (человека); кличка (животного)
唯一	единственный, единичный, неповторимый
居民	жители, население; жильцы (дома)
所谓	то, что говорится
曾经	уже, уже некогда, уже в своё время, прежде
真是	действительно, поистине, на (в) самом деле
结合	соединяться [с], связываться [с]
统一	объединение, единство; единый; объединять
而是	[не...] a ... (不是...而是...)
肯定	подтверждать, удостоверять; признавать
三个	три; трое
人士	деятель, представитель; лицо, фигура
军队	армия, войска; вооружённые силы; военный
大陆	материк, континент; материковый
官员	официальное лицо; чиновник, служащий
引起	вызывать, привлекать, повлечь, возбуждать
明显	ясный, отчётливый, явный; явно
现场	место (происшествия, проведения работ)
现象	явление; феномен; категория, проявление
目的	цель, объект, назначение, устремление
确实	достоверный; подлинный; действительный
稳定	упрочить, стабилизировать; укрепление
重新	заново, ещё раз, вторично; вновь
加强	усиливать, укреплять
强调	акцентировать, подчеркивать
总是	вообще; безусловно; конечно
教师	учитель, педагог, преподаватель; наставник
模式	модель, образец, паттерн, тип, режим
死亡	гибель, смерть; умирать; погибнуть
职业	занятие; дело, ремесло; профессия
联合	соединять, объединять; сочетать
西方	запад (страна света); западный
也许	возможно, может быть
军事	военные дела; военные действия
宣传	пропагандировать; пропаганда
带来	нести с собой, приносить
平台	плоская крыша дома; терраса
更加	ещё более, более
每天	каждый день, ежедневный; ежедневно; в день
电子	физ. электрон; электронный
节目	номер (программы), программа
阅读	читать; чтение
一年	один год; годичный, однолетний
一条	один, одна штука, одна вещь
事实	факт; обстоятельство; событие; явление
公民	гражданин, избиратель
实行	использование; осуществление (о правах)
小说	рассказ, повесть, новелла; роман
感到	почувствовать, ощутить, испытать
愿意	хотеть, желать; желание
来源	истоки; источник
现代	современная эпоха; современность
理解	понимать, осмысливать, уяснять
知识	знание, познание, эрудиция; интеллект
行业	I hángyè
责任	обязанность, обязательство, долг
长期	длительный срок, долгое время, длительный
飞机	самолёт, аэроплан
下来	спускаться (сюда), снижаться
保持	держать; поддерживать, удерживать
内部	внутри; внутренняя часть; внутренность
农民	крестьянство; крестьянин; крестьянский
减少	уменьшать, убавлять, сокращать; редукция
失去	потерять, утратить; лишиться, упустить
女孩	девочка, дочка
形式	форма; внешний вид, внешность, облик
报道	сообщать, информировать
攻击	атаковать, штурмовать; наступать на...
最好	наилучший; лучший
机场	аэродром, аэропорт; аэродромный
欢迎	приветствовать, оказывать сердечный приём
状态	вид; состояние (в т. ч. агрегатное у…
看见	увидеть; видеть
真实	истинный, действительный, реальный
经历	опыт, жизненный опыт
至少	по меньшей мере, по крайней мере
规模	масштаб, размер, параметры; объём, охват
错误	ошибка, промах, заблуждение, проступок
交易	меняться, обмениваться
仍然	по-прежнему, до сих пор, всё ещё; так же
动物	животное; фауна; зоо-; животный
反应	реагировать, отзываться, откликаться
只能	только и мочь что..., мочь только
思想	мысль, идея; идеология; мышление
承认	признавать; признание
担心	беспокоиться, волноваться, тревожиться
此外	кроме того, помимо этого, наряду с этим
清楚	ясный, понятный, очевидный, чёткий
积极	активный, деятельный, действенный
经常	обычный, постоянный, повседневный, текущий
经营	управлять (предприятием), хозяйствовать
绝对	абсолютный, категорический, категоричный
苏联	СССР, Советский Союз; советский
谢谢	спасибо!; благодарю Вас!; благодарить
身体	тело (человека), корпус; туловище
那样	этого (того) рода, такого рода; такой
采取	придерживаться
一名	иначе ещё называется..., зовётся...
不想	не предполагать; неожиданный
体育	физическое воспитание, физическая культура
农村	деревня, село; сельский, деревенский
分享	поделиться (чем-л. с кем-л.), разделять
到底	в конце концов, в конечном счёте, всё-таки
同意	соглашаться; приходить к соглашению
和平	мир; мирный
好像	как будто; похоже, что; кажется
尤其	в особенности же; и особенно; тем более
尽管	несмотря на..., пусть (даже), хоть (и)
方案	метод, способ, план, решение
每年	ежегодно, каждый год, в год, ежегодный
观点	точка зрения; подход; взгляд
青年	молодёжь; молодой
公布	опубликовать; огласить; обнародовать
创新	создавать, привносить новое
创造	создавать, творить; созидать; творческий
协议	соглашение, договорённость
即使	пусть даже, если даже, даже когда
在于	в том, что; заключаться в; состоять в
外国	иностранное государство, зарубежные страны
她们	они (местоимение женского рода)
工具	орудие, инструмент; оборудование
总理	премьер-министр, премьер
无论	перед вопросительным словом или…
晚上	вечер; вечером
正常	нормальный, обычный; постоянный; средний
类似	подобный, похожий, сходный, близкий
设立	создание; учреждение; образование
资金	средства, фонды, фондовые средства
限制	ограничивать, лимитировать
一场	I yīcháng
不再	не повторять, не допускать в дальнейшем
交通	связь, сношения; сообщение; пути сообщения
利益	польза, выгода, интересы
制作	творить, создавать; вырабатывать
压力	физ. давление, сила давления
宪法	конституция, основной закон
方向	направление; сторона
有点	немного, несколько, чуть-чуть
电脑	компьютер; компьютерный
破坏	портить, выводить из строя; уничтожать
突然	вдруг, неожиданно, внезапно
规律	закономерность, правило, закон
说话	говорить; разговаривать
部长	начальник управления, начальник отделения
金融	финансы, финансовый, банковский
不了	bùliǎo
不错	правильно, верно
中共	сокр. Коммунистическая партия Китая, КПК
主任	председательствующий, управляющий
举办	организовать, устроить; положить начало
交流	связь, контакт; общение, общаться
作者	автор; авторский
制造	вырабатывать; обрабатывать (сырьё)
医疗	лечить; лечение; лечебный; медицина
原则	принцип; основные положения
同志	стремиться к единой цели
团体	коллектив; организация; общество
委员	член комитета (комиссии, коллегии)
宗教	религия, вероучение; религиозный
意识	сознание; сознательность; сознательный
正确	достоверный, действительный, точный
版本	издание, оттиск, печатная книга
看来	по-видимому; на взгляд; кажется
训练	подготовка, тренировка, обучение
逐渐	постепенно, последовательно; постепенный
销售	продавать, сбывать; реализовать; сбыт
附近	окрестности, окрестный
不少	немало, достаточно много
人数	количество людей; число лиц
儿童	подросток, ребёнок; детский
允许	разрешать, позволять; обещать; допускать
出版	издавать; издание; печать
回到	возвратиться, вернуться (к чему-л.)
失败	потерпеть поражение (неудачу), провалиться
快乐	радоваться, веселиться
战略	стратегия; стратегический
推动	приводить в движение, сдвигать
教授	jiàoshòu
有效	иметь действие, иметь результат
程度	степень, мера, масштаб; состояние
编辑	редактировать; составлять (напр. сборник)
联盟	союз, лига; объединение, коалиция, блок
质量	физ. масса
资本	капитал; капиталистический
还要	все еще нужно, еще (дополнительно) нужно
阶段	этап, отрезок, стадия, фаза, период
业务	деятельность (организации, компании)
今日	сегодняшний день; сегодня; сейчас, теперь
体系	система, построение; режим
全面	всесторонний, комплексный, полномасштабный
协会	ассоциация, союз, общество
双方	обе стороны, те и другие; двусторонний
困难	трудность; трудный, тяжёлый; c трудом
广告	объявление; оповещение; извещение; реклама
态度	отношение (к чему-л.); позиция
政权	политическая власть, власть
数字	цифра, число; количество; цифровой
检查	проверять, контролировать; диагностировать
武器	оружие, вооружение
水平	уровень; горизонт; горизонтальный
状况	положение вещей, обстоятельства, ситуация
申请	подавать заявление, ходатайствовать
第二	второй (по порядку); во-вторых
调整	регулировать, настраивать, упорядочивать
购买	покупать, закупать, скупать; покупка
身上	тело, корпус; на теле
需求	потребность, нужда; запрос
首先	прежде всего, первым делом
危险	опасность, риск; опасный, угрожающий
商业	торговля, бизнес, коммерция; торговый
大会	собрание, митинг; съезд; пленум; ассамблея
妇女	женщина; женский
左右	левая и правая сторона; справа и слева
广场	площадь (городская)
拒绝	отвергать, отказывать(ся), отклонять
治疗	лечиться; лечебный, целебный
现实	реальность; действительность; реальный
监督	наблюдать, контролировать, следить
网址	сайт, адрес сайта
规划	план, планировать
速度	скорость, темп; скоростной
